n	Time taken (seconds)
10	0.0000098000
510	0.0005253000
1010	0.0010688000
1510	0.0016458000
2010	0.0022638000
2510	0.0028455000
3010	0.0037802000
3510	0.0044908000
4010	0.0052999000
4510	0.0069904000
