n	Time taken (seconds)
10	0.0000136000
510	0.0005098000
1010	0.0010400000
1510	0.0016655000
2010	0.0023199000
2510	0.0044014000
3010	0.0037977000
3510	0.0045486000
4010	0.0070028000
4510	0.0073009000
