n	Time taken (seconds)
10	0.0000190000
510	0.0005041000
1010	0.0011324000
1510	0.0016337000
2010	0.0025358000
2510	0.0049025000
3010	0.0038003000
3510	0.0047225000
4010	0.0054343000
4510	0.0102458000
