n	Time taken (seconds)
10	0.0000158000
510	0.0009680000
1010	0.0017528000
1510	0.0034571000
2010	0.0040864000
2510	0.0063890000
3010	0.0070839000
3510	0.0086050000
4010	0.0111517000
4510	0.0119615000
