n	Time taken (seconds)
10	0.0000083000
510	0.0007076000
1010	0.0016396000
1510	0.0025950000
2010	0.0035553000
2510	0.0046258000
3010	0.0058972000
3510	0.0068106000
4010	0.0087317000
4510	0.0086702000
