n	Time taken (seconds)
10	0.0000100000
510	0.0007586000
1010	0.0018225000
1510	0.0026647000
2010	0.0037432000
2510	0.0071738000
3010	0.0063135000
3510	0.0076967000
4010	0.0132883000
4510	0.0106620000
