n	Time taken (seconds)
10	0.0000060000
510	0.0000411000
1010	0.0000875000
1510	0.0001074000
2010	0.0002323000
2510	0.0002950000
3010	0.0002409000
3510	0.0002951000
4010	0.0003366000
4510	0.0003837000
