n	Time taken (seconds)
10	0.0000029000
510	0.0000801000
1010	0.0000667000
1510	0.0001108000
2010	0.0001888000
2510	0.0001994000
3010	0.0003437000
3510	0.0003079000
4010	0.0003220000
4510	0.0007086000
