n	Time taken (seconds)
10	0.0000034000
510	0.0000635000
1010	0.0000765000
1510	0.0002061000
2010	0.0001503000
2510	0.0002729000
3010	0.0002672000
3510	0.0002649000
4010	0.0004505000
4510	0.0004922000
