n	Time taken (seconds)
10	0.0000186000
510	0.0005834000
1010	0.0009715000
1510	0.0014202000
2010	0.0022703000
2510	0.0052529000
3010	0.0038321000
3510	0.0046615000
4010	0.0046004000
4510	0.0058169000
