n	Time taken (seconds)
10	0.0000147000
510	0.0007233000
1010	0.0009084000
1510	0.0014304000
2010	0.0023118000
2510	0.0027519000
3010	0.0072573000
3510	0.0042638000
4010	0.0049701000
4510	0.0079993000
